id	cat	url
0	Accommodation	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/01.icon
1	Bar/Pub	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/22.icon
2	Book Shop	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
3	Building	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/06.icon
4	Business & Services	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/02.icon
5	Car Hire	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/17.icon
6	Cinema	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/32.icon
7	Clothing & Accessories	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
8	Coffee/Tea	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/23.icon
9	Communications/Media	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/02.icon
10	DIY/garden centre	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
11	Dance or Nightclub	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/33.icon
12	Department Store	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
13	Educational Facility	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/25.icon
14	Electronics	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
15	Facility	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/04.icon
16	Fair & Convention Facility	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/24.icon
17	Ferry Terminal	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/41.icon
18	Food & Drink	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
19	Going Out	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/05.icon
20	Government or Community Facility	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/04.icon
21	Hospital or Healthcare Facility	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/26.icon
22	Hostel	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/01.icon
23	Hotel	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/01.icon
24	Landmark/Attraction	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/38.icon
25	Library	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/27.icon
26	Museum	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/10.icon
27	Natural or Geographical	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/08.icon
28	Outdoor Sports	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
29	Public Transport	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/11.icon
30	Recreation	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/07.icon
31	Religious Place	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/39.icon
32	Restaurant	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/03.icon
33	Service	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/02.icon
34	Shop	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
35	Shopping Centre	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
36	Sights & Museums	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/10.icon
37	Snacks/Fast food	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/03.icon
38	Sport Facility/Venue	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/30.icon
39	Theatre, Music & Culture	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/05.icon
40	Theme Park	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/34.icon
41	Tourist Information	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/21.icon
42	Transport	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/11.icon
43	Travel Agency	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/02.icon
44	Wine & Spirits	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/09.icon
45	Zoo	https://download.vcdn.cit.data.here.com/p/d/places2_stg/icons/categories/34.icon
